JURISDICTION,YEAR,POPULATION,"VIOLENT CRIME RATE PER 100,000 PEOPLE","PROPERTY CRIME RATE PER 100,000 PEOPLE",Overall Crime Rate
Allegany County,1/1/1975,79655,178.3,2745.6,Very high
Allegany County,1/1/1976,83923,103.7,2428.4,Very high
Allegany County,1/1/1977,82102,154.7,2538.3,Very high
Allegany County,1/1/1978,79966,127.6,2537.3,Very high
Allegany County,1/1/1979,79721,138,2774.7,Very high
Allegany County,1/1/1980,80461,147.9,2926.9,Very high
Allegany County,1/1/1981,81781,182.2,2841.7,Very high
Allegany County,1/1/1982,81858,142.9,2531.2,Very high
Allegany County,1/1/1983,82605,147.7,2210.5,Very high
Allegany County,1/1/1984,80835,111.3,2185.9,Very high
Allegany County,1/1/1985,77655,114.6,2196.9,Very high
Allegany County,1/1/1986,78947,153.3,2387.7,Very high
Allegany County,1/1/1987,75697,202.1,2454.5,Very high
Allegany County,1/1/1988,76500,213.1,2572.5,Very high
Allegany County,1/1/1989,76375,250.1,2735.2,Very high
Allegany County,1/1/1990,74946,317.6,2868.7,Very high
Allegany County,1/1/1991,76175,417.5,2823.8,Very high
Allegany County,1/1/1992,76925,470.6,3027.6,Very high
Allegany County,1/1/1993,75274,504.8,2759.3,Very high
Allegany County,1/1/1994,75891,441.4,2765.8,Very high
Allegany County,1/1/1995,74394,547.1,2614.5,Very high
Allegany County,1/1/1996,74833,439.6,2955.9,Very high
Allegany County,1/1/1997,75155,484.3,2992.5,Very high
Allegany County,1/1/1998,72871,391.1,3143.9,Very high
Allegany County,1/1/1999,71845,393.9,2917.4,Very high
Allegany County,1/1/2000,74930,361.7,2812,Very high
Allegany County,1/1/2001,76043,420.8,3090.4,Very high
Allegany County,1/1/2002,77216,304.3,2762.4,Very high
Allegany County,1/1/2003,74893,349.8,3043,Very high
Allegany County,1/1/2004,74325,437.3,2723.2,Very high
Allegany County,1/1/2005,74434,349.3,2751.4,Very high
Allegany County,1/1/2006,73841,381.9,2994.3,Very high
Allegany County,1/1/2007,71977,364,3138.5,Very high
Allegany County,1/1/2008,71806,334.2,3095.8,Very high
Allegany County,1/1/2009,72312,446.7,3148.9,Very high
Allegany County,1/1/2010,72721,429,3528.6,Very high
Allegany County,1/1/2011,75799,331.1,3320.6,Very high
Allegany County,1/1/2012,75413,355.4,3370.8,Very high
Allegany County,1/1/2013,73834,337.2,3234.3,Very high
Allegany County,1/1/2014,73299,274.2,3245.6,Very high
Allegany County ,1/1/2015,72230,301.8,3145.5,Very high
Allegany County ,1/1/2016,71622,342.1,2895.8,Very high
Anne Arundel County,1/1/1975,331390,608.6,6151.1,High
Anne Arundel County,1/1/1976,340345,304.4,5203,High
Anne Arundel County,1/1/1977,347538,341.3,4980.8,High
Anne Arundel County,1/1/1978,363169,315,4398.8,High
Anne Arundel County,1/1/1979,361749,311.3,4513.4,High
Anne Arundel County,1/1/1980,370099,352.3,5137,High
Anne Arundel County,1/1/1981,376172,376.4,5055.9,High
Anne Arundel County,1/1/1982,376525,362.8,4623.6,High
Anne Arundel County,1/1/1983,379967,390.6,4055.6,High
Anne Arundel County,1/1/1984,388659,415.3,3947.2,High
Anne Arundel County,1/1/1985,392718,445.6,3920.9,High
Anne Arundel County,1/1/1986,399108,376.1,4563.7,High
Anne Arundel County,1/1/1987,412522,342.3,4337,High
Anne Arundel County,1/1/1988,422647,354,4143.4,High
Anne Arundel County,1/1/1989,424124,355.3,4116,High
Anne Arundel County,1/1/1990,427239,380.6,4441.1,High
Anne Arundel County,1/1/1991,434253,425.6,4616,High
Anne Arundel County,1/1/1992,438543,451.5,4548,High
Anne Arundel County,1/1/1993,445772,494.4,4297.3,High
Anne Arundel County,1/1/1994,449440,472.1,4167.6,High
Anne Arundel County,1/1/1995,459455,429.2,4221.5,High
Anne Arundel County,1/1/1996,462188,463,4377.7,High
Anne Arundel County,1/1/1997,464193,452,4229.3,High
Anne Arundel County,1/1/1998,473811,542,3901.6,High
Anne Arundel County,1/1/1999,479474,588.6,3823.4,High
Anne Arundel County,1/1/2000,489656,691.1,3665.2,High
Anne Arundel County,1/1/2001,496929,764.3,3664.7,High
Anne Arundel County,1/1/2002,504601,714.8,3602.1,High
Anne Arundel County,1/1/2003,508071,689.5,3499.9,High
Anne Arundel County,1/1/2004,511140,644.8,3327.5,High
Anne Arundel County,1/1/2005,512445,618,3304.5,High
Anne Arundel County,1/1/2006,512277,618.2,3375.3,High
Anne Arundel County,1/1/2007,508164,603.7,3615.8,High
Anne Arundel County,1/1/2008,511145,573.4,3776.2,High
Anne Arundel County,1/1/2009,517763,564,3276.4,High
Anne Arundel County,1/1/2010,527278,555.5,3001.8,High
Anne Arundel County,1/1/2011,542753,492.9,2668.8,High
Anne Arundel County,1/1/2012,549659,415,2687.5,High
Anne Arundel County,1/1/2013,555330,417.6,2605.8,High
Anne Arundel County,1/1/2014,561031,403.4,2401.6,High
Anne Arundel County ,1/1/2015,563766,389.3,2290.7,High
Anne Arundel County ,1/1/2016,566105,408.4,2230.3,High
Baltimore City,1/1/1975,864100,1861.6,6286.9,Very high
Baltimore City,1/1/1976,860974,1650.7,6278.6,Very high
Baltimore City,1/1/1977,827494,1730.4,6524.6,Very high
Baltimore City,1/1/1978,781730,1881.1,7141.6,Very high
Baltimore City,1/1/1979,790901,1966,7505.4,Very high
Baltimore City,1/1/1980,784554,2120.1,7845.3,Very high
Baltimore City,1/1/1981,797429,2230.8,7688.8,Very high
Baltimore City,1/1/1982,798175,2095.9,7201.8,Very high
Baltimore City,1/1/1983,805527,2007.1,6692.8,Very high
Baltimore City,1/1/1984,788604,1981.7,6498.7,Very high
Baltimore City,1/1/1985,771097,2016.6,6720.9,Very high
Baltimore City,1/1/1986,783542,1949.7,6645.2,Very high
Baltimore City,1/1/1987,764893,1874.2,6840.6,Very high
Baltimore City,1/1/1988,763880,1933,7377.9,Very high
Baltimore City,1/1/1989,763138,2052.6,7431.9,Very high
Baltimore City,1/1/1990,736014,2446.4,8306.8,Very high
Baltimore City,1/1/1991,748099,2552.3,9011.9,Very high
Baltimore City,1/1/1992,755517,2893.4,9221.6,Very high
Baltimore City,1/1/1993,732968,3002.3,9763.3,Very high
Baltimore City,1/1/1994,739180,2842.5,9911.7,Very high
Baltimore City,1/1/1995,712209,3029.7,10483.6,Very high
Baltimore City,1/1/1996,716446,2738.7,9665.8,Very high
Baltimore City,1/1/1997,719587,2436.1,8515.7,Very high
Baltimore City,1/1/1998,662253,2432.3,8683.5,Very high
Baltimore City,1/1/1999,650588,2870.8,8786.7,Very high
Baltimore City,1/1/2000,651154,2462.6,7794.8,Very high
Baltimore City,1/1/2001,660826,2245.2,7508.2,Very high
Baltimore City,1/1/2002,671028,2065.9,6361.4,Very high
Baltimore City,1/1/2003,644554,1741.8,5901.1,Very high
Baltimore City,1/1/2004,634279,1851.2,5765.9,Very high
Baltimore City,1/1/2005,641097,1764,5264.7,Very high
Baltimore City,1/1/2006,637556,1705.1,5142.5,Very high
Baltimore City,1/1/2007,624237,1638.6,4858.6,Very high
Baltimore City,1/1/2008,634549,1596.7,4890.6,Very high
Baltimore City,1/1/2009,638755,1518.7,4632.3,Very high
Baltimore City,1/1/2010,639927,1461.4,4483.8,Very high
Baltimore City,1/1/2011,626848,1424.3,4826.2,Very high
Baltimore City,1/1/2012,625474,1410.9,4737.5,Very high
Baltimore City,1/1/2013,622671,1406.4,5015.7,Very high
Baltimore City,1/1/2014,623513,1352.3,4793.6,Very high
Baltimore City,1/1/2015,621252,1558.1,5061.4,Very high
Baltimore City,1/1/2016,618385,1797.4,4853.4,Very high
Baltimore County,1/1/1975,642154,228.9,5334.2,Very high
Baltimore County,1/1/1976,642369,311.7,5288.1,Very high
Baltimore County,1/1/1977,643363,648.9,5298.1,Very high
Baltimore County,1/1/1978,641120,751,5326.9,Very high
Baltimore County,1/1/1979,639872,820.3,5941.2,Very high
Baltimore County,1/1/1980,651337,905.1,6255.3,Very high
Baltimore County,1/1/1981,662025,937.3,6189.8,Very high
Baltimore County,1/1/1982,662646,995.6,5616.9,Very high
Baltimore County,1/1/1983,668705,909.7,4888.7,Very high
Baltimore County,1/1/1984,671586,921.8,4822.3,Very high
Baltimore County,1/1/1985,679708,1013.8,4850.6,Very high
Baltimore County,1/1/1986,690668,1001.1,5257.8,Very high
Baltimore County,1/1/1987,681068,830,5269.2,Very high
Baltimore County,1/1/1988,692703,951.8,5394.5,Very high
Baltimore County,1/1/1989,700068,1043.9,4923.4,Very high
Baltimore County,1/1/1990,692134,1012.1,5199.3,Very high
Baltimore County,1/1/1991,703563,1090.7,5559.4,Very high
Baltimore County,1/1/1992,710514,1089.8,5563.2,Very high
Baltimore County,1/1/1993,712020,1052.5,5223,Very high
Baltimore County,1/1/1994,717879,1011.3,5337.9,Very high
Baltimore County,1/1/1995,716904,1073.6,5445.8,Very high
Baltimore County,1/1/1996,721218,1029.8,5271.5,Very high
Baltimore County,1/1/1997,724348,1012.4,5155.7,Very high
Baltimore County,1/1/1998,726462,843.7,4674.2,Very high
Baltimore County,1/1/1999,727051,838.9,4143,Very high
Baltimore County,1/1/2000,754292,822,4013.6,Very high
Baltimore County,1/1/2001,765496,858.5,4059.1,Very high
Baltimore County,1/1/2002,777313,843.8,3912.3,Very high
Baltimore County,1/1/2003,777463,798.5,3622.9,Very high
Baltimore County,1/1/2004,784118,788.1,3430.2,Very high
Baltimore County,1/1/2005,786768,718.1,3215.1,Very high
Baltimore County,1/1/2006,788266,724.8,3378.6,Very high
Baltimore County,1/1/2007,785567,685,3427.8,Very high
Baltimore County,1/1/2008,787558,626.1,3434.5,Very high
Baltimore County,1/1/2009,792855,574.5,3316.5,Very high
Baltimore County,1/1/2010,797794,545.1,3024.3,Very high
Baltimore County,1/1/2011,812661,527.6,2966.3,Very high
Baltimore County,1/1/2012,817761,511.3,2889.5,Very high
Baltimore County,1/1/2013,822814,510.4,2881.9,Very high
Baltimore County,1/1/2014,828871,487.7,2723.7,Very high
Baltimore County,1/1/2015,829630,544.5,2698.2,Very high
Baltimore County,1/1/2016,831374,531.2,2830,Very high
Calvert County,1/1/1975,25930,219.8,2622.4,Low
Calvert County,1/1/1976,26491,181.2,2634.9,Low
Calvert County,1/1/1977,27500,247.3,2618.2,Low
Calvert County,1/1/1978,30223,271.3,2302.9,Low
Calvert County,1/1/1979,31548,358.2,2713.3,Low
Calvert County,1/1/1980,34308,443,3145,Low
Calvert County,1/1/1981,34871,404.3,3229,Low
Calvert County,1/1/1982,34904,406.8,2670.2,Low
Calvert County,1/1/1983,35222,389,2126.5,Low
Calvert County,1/1/1984,36985,505.6,2100.9,Low
Calvert County,1/1/1985,39686,463.6,2487,Low
Calvert County,1/1/1986,40299,570.7,2340,Low
Calvert County,1/1/1987,44402,470.7,2060.7,Low
Calvert County,1/1/1988,47621,346.5,1994.9,Low
Calvert County,1/1/1989,48750,422.6,2100.5,Low
Calvert County,1/1/1990,51372,297.8,1913.5,Low
Calvert County,1/1/1991,52215,294.9,2213.9,Low
Calvert County,1/1/1992,52730,322.4,2074.7,Low
Calvert County,1/1/1993,57726,369,1926.3,Low
Calvert County,1/1/1994,58201,357.4,2042.9,Low
Calvert County,1/1/1995,62626,378.4,2110.9,Low
Calvert County,1/1/1996,62998,339.7,2195.3,Low
Calvert County,1/1/1997,63271,346.1,2190.6,Low
Calvert County,1/1/1998,69972,354.4,1975.1,Low
Calvert County,1/1/1999,72392,385.4,1929.8,Low
Calvert County,1/1/2000,74563,421.1,1794.5,Low
Calvert County,1/1/2001,75671,440.1,1829,Low
Calvert County,1/1/2002,76838,482.8,1596.9,Low
Calvert County,1/1/2003,81659,391.9,1715.7,Low
Calvert County,1/1/2004,84860,268.7,1552,Low
Calvert County,1/1/2005,87133,265.1,1855.8,Low
Calvert County,1/1/2006,88166,291.5,1789.8,Low
Calvert County,1/1/2007,90358,308.8,1789.5,Low
Calvert County,1/1/2008,89373,410.6,2096.8,Low
Calvert County,1/1/2009,90796,298.5,2024.3,Low
Calvert County,1/1/2010,91279,212.5,2226.1,Low
Calvert County,1/1/2011,89578,158.5,2211.5,Low
Calvert County,1/1/2012,90118,127.6,1886.4,Low
Calvert County,1/1/2013,90031,118.8,1816,Low
Calvert County,1/1/2014,91047,143.9,1684.8,Low
Calvert County,1/1/2015,90757,135.5,1506.2,Low
Calvert County,1/1/2016,90403,154.9,1309.7,Low
Caroline County,1/1/1975,20037,329.4,2300.7,Middle
Caroline County,1/1/1976,21840,233.5,2097.1,Middle
Caroline County,1/1/1977,22600,212.4,1915.9,Middle
Caroline County,1/1/1978,22593,309.8,1819.1,Middle
Caroline County,1/1/1979,22534,510.3,2520.6,Middle
Caroline County,1/1/1980,23148,432,2276.7,Middle
Caroline County,1/1/1981,23528,480.3,2830.7,Middle
Caroline County,1/1/1982,23550,297.2,2768.6,Middle
Caroline County,1/1/1983,23762,328.3,2432.5,Middle
Caroline County,1/1/1984,23833,327.3,1791.6,Middle
Caroline County,1/1/1985,23832,411.2,1967.9,Middle
Caroline County,1/1/1986,24223,454.1,2340.8,Middle
Caroline County,1/1/1987,24386,389.6,1796.1,Middle
Caroline County,1/1/1988,25295,442.8,2012.3,Middle
Caroline County,1/1/1989,25695,249.1,1848.6,Middle
Caroline County,1/1/1990,27035,218.2,1904.9,Middle
Caroline County,1/1/1991,27475,276.6,2300.3,Middle
Caroline County,1/1/1992,27743,209.1,2242,Middle
Caroline County,1/1/1993,28177,230.7,2012.3,Middle
Caroline County,1/1/1994,28406,292.2,2312.9,Middle
Caroline County,1/1/1995,28923,522.1,2257.7,Middle
Caroline County,1/1/1996,29092,553.4,2959.6,Middle
Caroline County,1/1/1997,29215,578.5,2930,Middle
Caroline County,1/1/1998,29765,678.6,3208.5,Middle
Caroline County,1/1/1999,29700,858.6,3006.7,Middle
Caroline County,1/1/2000,29772,728.9,2556.1,Middle
Caroline County,1/1/2001,30214,536.2,2853,Middle
Caroline County,1/1/2002,30681,619.3,2591.2,Middle
Caroline County,1/1/2003,30582,474.1,2913.5,Middle
Caroline County,1/1/2004,31136,468.9,2694.6,Middle
Caroline County,1/1/2005,31295,495.3,2575.5,Middle
Caroline County,1/1/2006,31909,467,2961.5,Middle
Caroline County,1/1/2007,32693,376.2,2896.6,Middle
Caroline County,1/1/2008,33080,371.8,3289,Middle
Caroline County,1/1/2009,33693,374,3018.4,Middle
Caroline County,1/1/2010,33937,377.2,2999.7,Middle
Caroline County,1/1/2011,33379,335.5,3322.4,Middle
Caroline County,1/1/2012,33303,345.3,2846.6,Middle
Caroline County,1/1/2013,32665,287.8,2813.4,Middle
Caroline County,1/1/2014,32662,321.5,2397.3,Middle
Caroline County,1/1/2015,32308,244.5,2005.7,Middle
Caroline County,1/1/2016,32294,192,2065.4,Middle
Carroll County,1/1/1975,79066,208.7,2260.1,Low
Carroll County,1/1/1976,82407,201.4,2137,Low
Carroll County,1/1/1977,86000,169.8,1948.8,Low
Carroll County,1/1/1978,89083,208.8,2000.4,Low
Carroll County,1/1/1979,92641,246.1,2591.7,Low
Carroll County,1/1/1980,96080,261.2,2734.2,Low
Carroll County,1/1/1981,97657,263.2,2435.1,Low
Carroll County,1/1/1982,97748,263.9,2251.7,Low
Carroll County,1/1/1983,98637,243.3,1968.8,Low
Carroll County,1/1/1984,102737,237.5,2021.7,Low
Carroll County,1/1/1985,105829,238.1,1744.3,Low
Carroll County,1/1/1986,107514,308.8,2116.9,Low
Carroll County,1/1/1987,113393,277.8,2118.3,Low
Carroll County,1/1/1988,118898,246.4,2250.7,Low
Carroll County,1/1/1989,120554,247.2,2360.8,Low
Carroll County,1/1/1990,123372,164.5,2207.1,Low
Carroll County,1/1/1991,125394,122,2610.2,Low
Carroll County,1/1/1992,126632,170.6,2631.2,Low
Carroll County,1/1/1993,131736,148,2443.5,Low
Carroll County,1/1/1994,132818,193.5,2325,Low
Carroll County,1/1/1995,137424,192.1,2373.7,Low
Carroll County,1/1/1996,138238,261.9,2224.4,Low
Carroll County,1/1/1997,138835,214.6,2383.4,Low
Carroll County,1/1/1998,148119,198.5,2340,Low
Carroll County,1/1/1999,150771,186.4,2050.8,Low
Carroll County,1/1/2000,150897,287,2035.8,Low
Carroll County,1/1/2001,153138,230.5,1821.2,Low
Carroll County,1/1/2002,155503,251.4,1678.4,Low
Carroll County,1/1/2003,160504,251.7,1604.9,Low
Carroll County,1/1/2004,164663,252,1509.1,Low
Carroll County,1/1/2005,167424,238.9,1658.7,Low
Carroll County,1/1/2006,169003,221.3,1600.6,Low
Carroll County,1/1/2007,171843,208.9,1600.9,Low
Carroll County,1/1/2008,170347,211.3,1698.3,Low
Carroll County,1/1/2009,172300,228.1,1581,Low
Carroll County,1/1/2010,173047,201.7,1567.2,Low
Carroll County,1/1/2011,168719,151.7,1462.2,Low
Carroll County,1/1/2012,168903,181.2,1611,Low
Carroll County,1/1/2013,167529,204.1,1398,Low
Carroll County,1/1/2014,167966,218.5,1325.3,Low
Carroll County,1/1/2015,167468,137.9,1220.5,Low
Carroll County,1/1/2016,166742,153.5,1200.1,Low
Cecil County,1/1/1975,53726,431.8,4022.3,High
Cecil County,1/1/1976,56320,365.8,3925.8,High
Cecil County,1/1/1977,54901,358.8,3570.1,High
Cecil County,1/1/1978,55194,324.3,3310.1,High
Cecil County,1/1/1979,56486,531.1,3723,High
Cecil County,1/1/1980,60113,480.8,3495.1,High
Cecil County,1/1/1981,61099,435.4,3774.2,High
Cecil County,1/1/1982,61157,408.8,3471.4,High
Cecil County,1/1/1983,61713,442.4,3172.8,High
Cecil County,1/1/1984,64216,459.4,2761,High
Cecil County,1/1/1985,66143,514,2659.4,High
Cecil County,1/1/1986,67238,499.7,2724.6,High
Cecil County,1/1/1987,68584,520.5,2927.8,High
Cecil County,1/1/1988,70868,431.8,2867.3,High
Cecil County,1/1/1989,72922,511.5,2912.7,High
Cecil County,1/1/1990,71347,577.5,3365.2,High
Cecil County,1/1/1991,72516,543.3,3584,High
Cecil County,1/1/1992,73230,506.6,3232.3,High
Cecil County,1/1/1993,75723,503.1,2946.3,High
Cecil County,1/1/1994,76343,466.3,2490.1,High
Cecil County,1/1/1995,77589,426.6,3030.1,High
Cecil County,1/1/1996,78048,477.9,2781.6,High
Cecil County,1/1/1997,78384,510.3,2939.4,High
Cecil County,1/1/1998,81418,568.7,3127.1,High
Cecil County,1/1/1999,83114,546.2,3022.4,High
Cecil County,1/1/2000,85951,530.5,2944.7,High
Cecil County,1/1/2001,87228,514.7,2898.2,High
Cecil County,1/1/2002,88574,469.7,2976,High
Cecil County,1/1/2003,91175,499,2970.1,High
Cecil County,1/1/2004,93573,460.6,3160.1,High
Cecil County,1/1/2005,96254,492.4,3048.2,High
Cecil County,1/1/2006,98064,499.7,3102.1,High
Cecil County,1/1/2007,100680,564.2,3375,High
Cecil County,1/1/2008,100763,535.9,3782.1,High
Cecil County,1/1/2009,102047,731,3590.5,High
Cecil County,1/1/2010,102940,653.8,3327.2,High
Cecil County,1/1/2011,102067,567.3,3371.3,High
Cecil County,1/1/2012,102676,534.7,3285.1,High
Cecil County,1/1/2013,102068,427.2,2816.7,High
Cecil County,1/1/2014,102296,484.9,2827.1,High
Cecil County,1/1/2015,102376,357.5,2599.2,High
Cecil County,1/1/2016,102033,365.6,2554.1,High
Charles County,1/1/1975,55740,299.6,3584.5,Middle
Charles County,1/1/1976,59758,286.2,3519.2,Middle
Charles County,1/1/1977,64900,248.1,3240.4,Middle
Charles County,1/1/1978,66193,379.2,3563.8,Middle
Charles County,1/1/1979,67202,422.6,4419.5,Middle
Charles County,1/1/1980,72343,425.7,4133.1,Middle
Charles County,1/1/1981,73530,421.6,4148,Middle
Charles County,1/1/1982,73599,406.3,3845.2,Middle
Charles County,1/1/1983,74271,408,3325.7,Middle
Charles County,1/1/1984,79140,374,3371.2,Middle
Charles County,1/1/1985,82603,431,3186.3,Middle
Charles County,1/1/1986,83937,456.3,3497.9,Middle
Charles County,1/1/1987,90430,543,3660.3,Middle
Charles County,1/1/1988,95856,510.1,3827.6,Middle
Charles County,1/1/1989,96281,634.6,3785.8,Middle
Charles County,1/1/1990,101154,626.8,3961.3,Middle
Charles County,1/1/1991,102814,699.3,4435.2,Middle
Charles County,1/1/1992,103829,616.4,4272.4,Middle
Charles County,1/1/1993,107103,525.7,3844,Middle
Charles County,1/1/1994,107983,560.3,3956.2,Middle
Charles County,1/1/1995,110079,654.1,4251.5,Middle
Charles County,1/1/1996,110733,583.4,3971.7,Middle
Charles County,1/1/1997,111212,644.7,3810.7,Middle
Charles County,1/1/1998,116001,542.2,3986.2,Middle
Charles County,1/1/1999,118809,589.2,3110,Middle
Charles County,1/1/2000,120546,574.9,3153.2,Middle
Charles County,1/1/2001,122336,633.5,3196.1,Middle
Charles County,1/1/2002,124225,704.4,3274.7,Middle
Charles County,1/1/2003,130240,593.5,3324.6,Middle
Charles County,1/1/2004,134236,548.3,3132.5,Middle
Charles County,1/1/2005,136841,554.7,3120.4,Middle
Charles County,1/1/2006,139202,523.7,3064.6,Middle
Charles County,1/1/2007,142320,594.4,2981.3,Middle
Charles County,1/1/2008,142039,559,3035.1,Middle
Charles County,1/1/2009,143833,487.4,2594.7,Middle
Charles County,1/1/2010,145349,490.5,2553.9,Middle
Charles County,1/1/2011,147940,397.5,2553.7,Middle
Charles County,1/1/2012,150570,381.9,2220.2,Middle
Charles County,1/1/2013,152067,386.7,2319.4,Middle
Charles County,1/1/2014,154633,353.1,1973.1,Middle
Charles County,1/1/2015,156234,371.9,1885.6,Middle
Charles County,1/1/2016,157065,359.1,1643.3,Middle
Dorchester County,1/1/1975,28900,1041.5,3695.5,Very high
Dorchester County,1/1/1976,29929,832,3618.6,Very high
Dorchester County,1/1/1977,29991,593.5,3484.4,Very high
Dorchester County,1/1/1978,30124,610.8,3150.3,Very high
Dorchester County,1/1/1979,30647,473.1,3785,Very high
Dorchester County,1/1/1980,30549,553.2,4065.6,Very high
Dorchester County,1/1/1981,31050,496,4389.7,Very high
Dorchester County,1/1/1982,31079,527.7,4266.5,Very high
Dorchester County,1/1/1983,31361,491.1,3293.9,Very high
